,date,district,n_battles,n_explosions,n_protests,n_riots,n_strategicdev,n_violcivilians,n_conflict_total
0,2019-01-01,Adan Yabaal,1.0,,,,2.0,,3.0
1,2019-04-01,Adan Yabaal,1.0,,,,,2.0,3.0
2,2019-05-01,Adan Yabaal,1.0,,,,1.0,,2.0
3,2019-06-01,Adan Yabaal,1.0,,,,,,1.0
4,2019-07-01,Adan Yabaal,,,,,,3.0,3.0
5,2019-08-01,Adan Yabaal,4.0,2.0,,,,,6.0
6,2019-09-01,Adan Yabaal,2.0,,,,,1.0,3.0
7,2019-11-01,Adan Yabaal,,2.0,,,,,2.0
8,2020-01-01,Adan Yabaal,,1.0,,,,,1.0
9,2020-02-01,Adan Yabaal,1.0,,,,,,1.0
10,2020-04-01,Adan Yabaal,,1.0,,,,,1.0
11,2020-05-01,Adan Yabaal,,,,,,1.0,1.0
12,2020-06-01,Adan Yabaal,,,,,,1.0,1.0
13,2020-07-01,Adan Yabaal,,1.0,,,,,1.0
14,2020-09-01,Adan Yabaal,,,,,1.0,1.0,2.0
15,2020-12-01,Adan Yabaal,,,,,,1.0,1.0
16,2016-10-01,Afgooye,13.0,2.0,,,2.0,7.0,24.0
17,2016-11-01,Afgooye,11.0,4.0,,,1.0,5.0,21.0
18,2016-12-01,Afgooye,11.0,8.0,,,1.0,3.0,23.0
19,2017-01-01,Afgooye,10.0,6.0,,,,6.0,22.0
20,2017-02-01,Afgooye,10.0,3.0,,,,2.0,15.0
21,2017-03-01,Afgooye,4.0,1.0,,,,4.0,9.0
22,2017-04-01,Afgooye,9.0,7.0,,,1.0,2.0,19.0
23,2017-05-01,Afgooye,13.0,3.0,,,1.0,4.0,21.0
24,2017-06-01,Afgooye,8.0,12.0,,,1.0,4.0,25.0
25,2017-07-01,Afgooye,11.0,8.0,,1.0,1.0,3.0,24.0
26,2017-08-01,Afgooye,9.0,7.0,1.0,,2.0,8.0,27.0
27,2017-09-01,Afgooye,6.0,13.0,2.0,,3.0,4.0,28.0
28,2017-10-01,Afgooye,28.0,7.0,,,4.0,2.0,41.0
29,2017-11-01,Afgooye,11.0,6.0,,,3.0,2.0,22.0
30,2017-12-01,Afgooye,10.0,3.0,,1.0,,4.0,18.0
31,2018-01-01,Afgooye,10.0,2.0,,,,5.0,17.0
32,2018-02-01,Afgooye,17.0,9.0,1.0,,2.0,3.0,32.0
33,2018-03-01,Afgooye,9.0,5.0,,,1.0,3.0,18.0
34,2018-04-01,Afgooye,6.0,5.0,,,,2.0,13.0
35,2018-05-01,Afgooye,4.0,9.0,,,,1.0,14.0
36,2018-06-01,Afgooye,13.0,3.0,,,,2.0,18.0
37,2018-07-01,Afgooye,8.0,6.0,,,,3.0,17.0
38,2018-08-01,Afgooye,11.0,6.0,,,,1.0,18.0
